category_code,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
appliances.kitchen.hob,15216,641,291,959,205012.05,0.0421267087276551,0.4539781591263651,0.019124605678233438
sport.bicycle,29849,420,124,838,203694.73,0.014070823143153874,0.29523809523809524,0.004154243023216858
kids.skates,21489,416,144,704,202582.29,0.019358741681790685,0.34615384615384615,0.006701102889850622
appliances.environment.air_conditioner,7966,183,64,411,201596.51,0.022972633693196083,0.34972677595628415,0.008034145116746171
construction.tools.generator,21950,829,419,1244,196790.16,0.037767653758542144,0.5054282267792521,0.01908883826879271
appliances.kitchen.meat_grinder,27736,1285,697,2382,191098.25,0.04632967983847707,0.5424124513618677,0.025129795211998845
apparel.shoes.keds,91620,0,0,2711,188218.5,0.0,,0.0
construction.tools.welding,16899,853,434,1081,173856.12,0.05047635954790224,0.5087924970691676,0.025681993017338305
appliances.kitchen.blender,38696,1991,1082,3043,173581.85,0.05145234649576184,0.5434455047714716,0.02796154641306595
electronics.camera.video,10023,250,103,350,140711.99,0.024942631946523,0.412,0.010276364361967475
appliances.kitchen.coffee_machine,19549,323,140,544,137116.37,0.016522584275410507,0.43343653250773995,0.007161491636400839
electronics.telephone,47421,2710,1419,3738,126731.29,0.05714767718943084,0.5236162361623616,0.029923451635351428
appliances.kitchen.grill,20906,601,307,723,125929.87999999999,0.028747727924997607,0.5108153078202995,0.014684779489141873
sport.trainer,8725,182,82,367,113011.43000000001,0.020859598853868195,0.45054945054945056,0.009398280802292264
appliances.environment.air_heater,19033,1322,716,2483,110755.87,0.06945830925235118,0.5416036308623298,0.03761887248463196
electronics.camera.photo,3485,37,14,174,105748.62999999999,0.010616929698708751,0.3783783783783784,0.0040172166427546625
appliances.kitchen.hood,14856,555,277,936,101509.44,0.03735864297253635,0.4990990990990991,0.01864566505115778
appliances.kitchen.kettle,33684,1740,917,2983,99406.57,0.051656572853580336,0.5270114942528735,0.027223607647547797
furniture.kitchen.table,28982,53,18,742,99082.31999999999,0.0018287212752743083,0.33962264150943394,0.0006210751500931612
auto.accessories.compressor,13550,146,68,591,83753.5,0.010774907749077491,0.4657534246575342,0.005018450184501845
appliances.kitchen.mixer,18524,765,373,1260,80290.49,0.04129777585834593,0.4875816993464052,0.020136039732239257
furniture.kitchen.chair,25170,472,205,1156,79904.25,0.01875248311481923,0.4343220338983051,0.00814461660707191
electronics.audio.music_tools.piano,8741,224,85,423,71795.92,0.02562635854021279,0.3794642857142857,0.009724287838920032
computers.components.hdd,11564,627,308,1035,66661.49,0.05421999308197856,0.49122807017543857,0.026634382566585957
furniture.living_room.chair,14835,249,115,648,64500.31,0.01678463094034378,0.46184738955823296,0.007751937984496124
appliances.kitchen.juicer,9575,393,197,554,53324.38,0.0410443864229765,0.5012722646310432,0.020574412532637077
accessories.bag,44780,304,144,1253,53155.53,0.006788744975435463,0.47368421052631576,0.00321572130415364
computers.ebooks,6512,237,110,294,47831.62,0.036394348894348894,0.4641350210970464,0.016891891891891893
apparel.costume,55708,0,0,489,46492.98,0.0,,0.0
kids.swing,7326,76,48,330,44756.47,0.010374010374010374,0.631578947368421,0.006552006552006552
computers.components.cpu,10105,51,16,201,43509.72,0.005047006432459178,0.3137254901960784,0.0015833745670460167
appliances.personal.hair_cutter,12339,655,325,1047,41079.56,0.053083718291595756,0.4961832061068702,0.026339249533997893
auto.accessories.radar,12982,387,187,494,40968.96,0.02981050685564628,0.48320413436692505,0.014404560160221846
electronics.video.projector,3471,68,25,82,37059.95,0.01959089599539038,0.36764705882352944,0.007202535292422933
kids.toys,34668,286,111,1055,35968.55,0.008249682704511365,0.3881118881118881,0.0032017999307718936
computers.components.motherboard,6466,62,19,270,34974.83,0.009588617383235385,0.3064516129032258,0.002938447262604392
electronics.audio.microphone,6657,125,52,430,34709.76,0.018777226979119724,0.416,0.007811326423313805
construction.tools.pump,7737,222,102,322,34624.83,0.02869329197363319,0.4594594594594595,0.013183404420317953
computers.peripherals.mouse,12447,485,215,1051,29469.68,0.03896521250100426,0.44329896907216493,0.017273238531373022
computers.components.memory,7043,41,13,526,28184.41,0.005821382933409058,0.3170731707317073,0.0018458043447394576
computers.peripherals.keyboard,9152,226,95,600,26891.61,0.024694055944055944,0.42035398230088494,0.010380244755244756
appliances.ironing_board,8571,222,136,664,26333.48,0.02590129506475324,0.6126126126126126,0.01586746003966865
appliances.personal.scales,13458,817,391,1331,24971.46,0.060707385941447464,0.4785801713586291,0.029053351166592363
computers.components.cooler,7811,74,33,451,23730.96,0.009473818973242863,0.44594594594594594,0.004224811163743439
appliances.kitchen.toster,6738,226,117,459,19448.49,0.03354111012169783,0.5176991150442478,0.017364203027604632
accessories.wallet,8141,0,0,310,15016.83,0.0,,0.0
construction.components.faucet,6693,29,12,297,14902.95,0.004332885103839832,0.41379310344827586,0.0017929179740026895
auto.accessories.winch,3972,0,0,26,14555.140000000001,0.0,,0.0
construction.tools.painting,3448,7,5,133,14339.58,0.0020301624129930394,0.7142857142857143,0.0014501160092807424
kids.dolls,11980,131,39,344,13662.27,0.010934891485809683,0.29770992366412213,0.00325542570951586
medicine.tools.tonometer,3437,270,132,310,13500.42,0.07855688100087285,0.4888888888888889,0.038405586267093395
furniture.bathroom.toilet,3831,6,4,182,12060.57,0.0015661707126076742,0.6666666666666666,0.0010441138084051162
computers.components.power_supply,3138,53,32,195,10912.55,0.016889738687061822,0.6037735849056604,0.010197578075207138
kids.fmcg.diapers,8173,46,26,768,10497.67,0.005628288266242506,0.5652173913043478,0.00318120641135446
appliances.kitchen.steam_cooker,4632,96,40,97,10041.02,0.02072538860103627,0.4166666666666667,0.008635578583765112
country_yard.cultivator,1681,9,4,28,9204.61,0.005353955978584176,0.4444444444444444,0.002379535990481856
furniture.bathroom.bath,3132,0,0,63,8234.02,0.0,,0.0
appliances.personal.massager,4957,77,40,163,8153.86,0.015533588864232398,0.5194805194805194,0.008069396812588258
country_yard.lawn_mower,1539,22,12,44,6490.84,0.014294996751137101,0.5454545454545454,0.007797270955165692
apparel.jeans,29262,0,0,140,6163.23,0.0,,0.0
furniture.bedroom.blanket,6653,0,0,162,5167.42,0.0,,0.0
apparel.shoes.moccasins,6192,0,0,72,5060.94,0.0,,0.0
sport.ski,945,0,0,16,3918.38,0.0,,0.0
furniture.bedroom.pillow,5918,4,2,171,3882.74,0.0006759040216289286,0.5,0.0003379520108144643
appliances.kitchen.coffee_grinder,2858,124,62,132,3683.97,0.04338698390482855,0.5,0.021693491952414275
computers.peripherals.camera,1798,25,5,43,3670.88,0.013904338153503892,0.2,0.0027808676307007787
construction.tools.light,6825,45,14,113,3396.1099999999997,0.006593406593406593,0.3111111111111111,0.0020512820512820513
auto.accessories.parktronic,5260,0,0,46,2918.59,0.0,,0.0
furniture.universal.light,2034,0,0,40,2688.48,0.0,,0.0
apparel.underwear,15984,0,0,97,2103.45,0.0,,0.0
apparel.tshirt,11722,16,6,58,2028.6399999999999,0.001364954785872718,0.375,0.0005118580447022692
stationery.cartrige,2181,65,26,134,2027.38,0.029802842732691424,0.4,0.01192113709307657
apparel.shirt,8392,0,0,38,1940.57,0.0,,0.0
sport.snowboard,1424,0,0,6,1589.22,0.0,,0.0
apparel.sock,1206,3,1,21,1283.0800000000002,0.0024875621890547263,0.3333333333333333,0.0008291873963515755
apparel.belt,1058,0,0,21,1222.4,0.0,,0.0
apparel.trousers,10235,0,0,22,1102.31,0.0,,0.0
apparel.dress,17777,0,0,15,871.3100000000001,0.0,,0.0
apparel.shoes.sandals,3542,0,0,25,762.16,0.0,,0.0
accessories.umbrella,1800,5,0,24,611.52,0.002777777777777778,0.0,0.0
appliances.environment.fan,886,13,4,27,475.65999999999997,0.014672686230248307,0.3076923076923077,0.004514672686230248
apparel.shoes.slipons,3268,0,0,8,398.2,0.0,,0.0
sport.tennis,1020,5,2,9,345.24,0.004901960784313725,0.4,0.00196078431372549
apparel.shoes.ballet_shoes,1452,0,0,11,314.56,0.0,,0.0
apparel.scarf,1320,0,0,10,241.93,0.0,,0.0
apparel.skirt,749,0,0,4,109.85,0.0,,0.0
apparel.jumper,1864,0,0,2,61.26,0.0,,0.0
apparel.jacket,358,0,0,1,43.23,0.0,,0.0
apparel.shorts,397,0,0,2,32.18,0.0,,0.0
construction.tools.soldering,381,0,0,1,12.14,0.0,,0.0
country_yard.furniture.hammok,877,0,0,0,0.0,0.0,,0.0
country_yard.furniture.bench,165,0,0,0,0.0,0.0,,0.0
auto.accessories.anti_freeze,144,0,0,0,0.0,0.0,,0.0
apparel.shoes.step_ins,901,0,0,0,0.0,0.0,,0.0
apparel.shoes.espadrilles,1173,0,0,0,0.0,0.0,,0.0
