brand,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
philips,91568,3699,1824,4461,514235.25,0.04039620828236939,0.4931062449310625,0.01991962257557225
vivo,26340,1419,843,2025,495678.60000000003,0.05387243735763098,0.5940803382663847,0.032004555808656035
kivi,23306,953,486,1584,404700.53,0.04089075774478675,0.5099685204616999,0.020852999227666695
navien,4689,116,71,604,382956.86,0.02473875026658136,0.6120689655172413,0.015141821283855833
nokian,55228,2819,1322,4907,372997.64,0.051042949228652136,0.4689606243348705,0.023937133338161803
oneplus,18745,63,29,509,351076.22,0.003360896238997066,0.4603174603174603,0.0015470792211256335
omabelle,46050,0,0,253,347730.87,0.0,,0.0
janome,19390,827,412,1356,333491.44,0.04265085095410005,0.49818621523579204,0.021248066013408975
tefal,60984,2717,1411,3353,329980.6,0.04455266955266955,0.5193227824806772,0.023137216319034502
midea,44908,877,437,2334,324207.73,0.01952881446512871,0.4982896237172178,0.009731005611472344
epson,13990,968,555,1291,302365.79,0.06919228020014295,0.5733471074380165,0.03967119370979271
pulser,14242,0,0,422,297562.53,0.0,,0.0
triangle,61627,347,152,5835,288550.38,0.005630648903889529,0.43804034582132567,0.0024664513930582376
force,64399,90,38,1956,285816.83,0.001397537228838957,0.4222222222222222,0.0005900712743986708
stels,73349,223,117,3043,282585.83,0.003040259580907715,0.5246636771300448,0.0015951137711488908
starline,33711,1789,1030,1954,274563.95,0.053068731274658124,0.5757406372275014,0.0305538251609267
redmond,78074,3181,1592,4002,273112.38,0.04074339728975075,0.5004715498270984,0.020390911186822756
elenberg,91033,4960,2400,6189,259441.52,0.054485735941911174,0.4838709677419355,0.026364065778344117
karcher,32345,933,420,993,254838.31,0.028845262018859175,0.45016077170418006,0.01298500541041892
sv,63513,0,0,996,239938.81,0.0,,0.0
atlant,24865,498,195,932,237760.91999999998,0.020028152020912928,0.39156626506024095,0.007842348682887593
yokohama,35102,1005,420,2735,237257.95,0.028630847245171214,0.417910447761194,0.011965130192011852
hansa,24311,508,205,836,228372.29,0.020895890749043643,0.4035433070866142,0.00843239685738966
casio,48836,51,22,2687,223266.26,0.0010443115734294372,0.43137254901960786,0.0004504873454009337
hubert,6621,301,143,426,219706.36,0.04546141066304184,0.4750830564784053,0.021597945929617883
peda,16685,0,0,149,219342.37,0.0,,0.0
meizu,43201,531,282,1735,214465.65,0.012291382143931854,0.5310734463276836,0.006527626675308442
bts,48847,0,0,757,199313.32,0.0,,0.0
tcl,13491,395,203,731,194837.51,0.029278778444889186,0.5139240506329114,0.015047068415981024
ariston,16573,1136,632,1513,192233.22,0.06854522415977796,0.5563380281690141,0.03813431484945393
pioneer,46724,270,147,1832,190779.77,0.005778614844619468,0.5444444444444444,0.003146134748737266
skad,37063,0,0,851,189851.02,0.0,,0.0
brw,59252,0,0,807,185336.37,0.0,,0.0
msi,10837,34,5,256,176389.77,0.003137399649349451,0.14705882352941177,0.00046138230137491925
lider,20782,0,0,413,167913.5,0.0,,0.0
vitek,75648,2588,1315,4106,167073.05,0.03421108291032149,0.5081143740340031,0.017383142978003384
huter,23495,1308,624,1226,165072.51,0.05567141945094701,0.47706422018348627,0.026558842306873803
nokia,49869,1864,991,2222,164375.76,0.03737793017706391,0.5316523605150214,0.01987206480980168
sokolov,31775,0,0,1131,159264.38,0.0,,0.0
garmin,23539,186,75,309,158300.83,0.007901780024639959,0.4032258064516129,0.0031862016228386934
jbl,42487,1709,826,2439,153714.17,0.04022406853861181,0.48332358104154477,0.019441240850142396
dell,10846,71,22,174,149999.55,0.006546192144569427,0.30985915492957744,0.002028397565922921
honor,26435,509,216,643,144747.27,0.019254775865330056,0.4243614931237721,0.008170985435975033
yasin,16897,15,4,578,144728.16999999998,0.0008877315499792863,0.26666666666666666,0.00023672841332780968
yamaha,12667,0,0,418,142948.13,0.0,,0.0
respect,79814,0,0,1857,139626.74,0.0,,0.0
electrolux,24503,592,288,746,139229.16,0.02416030690119577,0.4864864864864865,0.011753662816797943
braun,32502,1020,534,1433,136549.62,0.03138268414251431,0.5235294117647059,0.01642975816872808
thomas,9221,298,125,407,133672.07,0.03231753605899577,0.41946308724832215,0.01355601344756534
nikon,7471,203,89,273,130934.59,0.0271717306920091,0.43842364532019706,0.011912729219649311
delonghi,16468,362,167,390,130227.25,0.021982025746903083,0.4613259668508287,0.010140879281029877
dji,7817,12,3,139,128926.41,0.0015351157733145709,0.25,0.0003837789433286427
michelin,19388,654,323,1100,126849.36,0.033732205487930676,0.4938837920489297,0.016659789560552918
kenwood,26096,228,106,692,114553.3,0.008736971183323115,0.4649122807017544,0.004061925199264255
panasonic,31293,1109,500,1123,113279.52,0.03543923561179817,0.4508566275924256,0.015978014252388713
arg,17298,1076,546,933,107322.98,0.06220372297375419,0.5074349442379182,0.03156434269857787
polaris,64641,1651,771,2593,105393.54,0.02554106526817345,0.46698970321017563,0.011927414489256044
goodyear,14602,249,107,851,104125.08,0.017052458567319545,0.42971887550200805,0.007327763320093138
bridgestone,16468,402,116,727,102583.34999999999,0.024410978868107846,0.2885572139303483,0.007043964051493806
sho-me,16488,502,280,707,98488.63,0.0304463852498787,0.5577689243027888,0.016982047549733138
rowenta,30758,1551,817,1885,97983.0,0.050425905455491256,0.5267569310122502,0.026562195201248456
matador,27747,1711,666,1711,96796.84,0.061664324071070746,0.3892460549386324,0.024002594875121634
viatti,33921,325,154,2153,96701.8,0.009581085463282332,0.47384615384615386,0.004539960496447629
tissot,8766,0,0,151,95821.24,0.0,,0.0
candy,11903,332,149,352,95666.33,0.027892128034949174,0.44879518072289154,0.012517852642191045
netechnics,8859,0,0,119,94683.83,0.0,,0.0
kipardo,15963,0,0,267,91041.43000000001,0.0,,0.0
rinnai,2543,58,24,104,85349.06,0.022807707432166733,0.41379310344827586,0.009437672040896579
neoline,18600,477,197,509,84460.59,0.02564516129032258,0.4129979035639413,0.010591397849462366
omron,14722,797,380,1421,84169.16,0.05413666621382964,0.4767879548306148,0.02581171036543948
genau,3135,0,0,243,83821.81,0.0,,0.0
rals,10120,0,0,142,79667.04,0.0,,0.0
fly,10728,165,72,301,75670.69,0.015380313199105145,0.43636363636363634,0.006711409395973154
microsoft,8267,162,67,225,75632.73,0.0195959840329019,0.41358024691358025,0.008104511914842143
gigabyte,9318,47,10,314,75269.95999999999,0.005044000858553338,0.2127659574468085,0.0010731916720326251
dewalt,12602,187,74,346,74604.58,0.014838914458022536,0.39572192513368987,0.005872083796222821
gefest,16015,147,54,416,73123.85,0.009178894786137995,0.3673469387755102,0.003371838901030284
belecoo,11167,83,40,596,70372.19,0.007432613951822334,0.4819277108433735,0.003581982627384257
gorenje,21531,126,47,381,69000.62,0.005852027309460777,0.373015873015873,0.0021828990757512424
vegas,11641,0,0,327,65943.24,0.0,,0.0
maxxis,15743,78,24,803,65717.49,0.00495458298926507,0.3076923076923077,0.0015244870736200217
dyson,7665,116,43,131,65506.479999999996,0.015133724722765819,0.3706896551724138,0.005609915198956295
prestigio,22612,658,323,1217,64853.09,0.02909959313638776,0.4908814589665654,0.014284450734123474
alpine,15634,35,16,368,63362.73,0.0022387105027504156,0.45714285714285713,0.0010234105155430473
erlit,5086,0,0,192,62981.49,0.0,,0.0
zeta,24358,910,364,882,62438.89,0.037359389112406605,0.4,0.01494375564496264
gf,4049,3,2,91,61520.08,0.0007409236848604594,0.6666666666666666,0.0004939491232403062
continental,11358,164,59,464,61504.08,0.014439161824264836,0.3597560975609756,0.005194576509948935
palit,5735,138,53,250,60054.98,0.024062772449869225,0.38405797101449274,0.00924149956408021
makita,14066,4,0,233,59775.24,0.00028437366699843596,0.0,0.0
elari,23833,936,398,1029,59527.31,0.03927327654932237,0.4252136752136752,0.016699534259220408
imperial,16231,0,0,130,59066.54,0.0,,0.0
toshiba,8215,102,43,245,58249.82,0.01241631162507608,0.4215686274509804,0.0052343274497869755
moulinex,15245,483,243,536,57857.15,0.03168251885864218,0.5031055900621118,0.01593965234503116
tp-link,14988,537,249,875,57825.81,0.03582866293034428,0.46368715083798884,0.016613290632506005
pirelli,11992,158,77,622,57336.44,0.013175450300200134,0.4873417721518987,0.0064209472981988
nintendo,4969,89,28,216,56646.840000000004,0.017911048500704366,0.3146067415730337,0.005634936606963172
changhong,6922,182,98,255,56453.770000000004,0.026292978907830108,0.5384615384615384,0.014157757873446981
stihl,5184,0,0,219,56085.96,0.0,,0.0
hisense,2472,98,39,91,55251.49,0.03964401294498382,0.3979591836734694,0.015776699029126214
gopro,4482,121,55,133,54850.130000000005,0.026996876394466757,0.45454545454545453,0.012271307452030344
arnica,8105,0,0,277,54507.62,0.0,,0.0
kingston,16141,865,361,1249,54170.26,0.05359023604485472,0.41734104046242776,0.022365404869586766
montale,10949,202,115,616,51825.84,0.01844917344049685,0.5693069306930693,0.010503242305233355
versace,11130,173,90,485,51521.47,0.01554357592093441,0.5202312138728323,0.008086253369272238
bars,9266,0,0,818,51508.8,0.0,,0.0
baden,43346,0,0,776,51460.97,0.0,,0.0
kurzweil,2501,29,6,57,50824.979999999996,0.011595361855257898,0.20689655172413793,0.0023990403838464614
creed,6213,78,41,236,50388.84,0.012554321583775953,0.5256410256410257,0.006599066473523258
giant,4332,6,1,67,50056.12,0.0013850415512465374,0.16666666666666666,0.00023084025854108956
kugoo,3932,23,14,99,49829.22,0.005849440488301119,0.6086956521739131,0.003560528992878942
housefit,7724,6,1,147,49516.31,0.0007767995857068876,0.16666666666666666,0.0001294665976178146
ea,6715,908,422,681,49436.78,0.13521965748324646,0.4647577092511013,0.06284437825763217
aeroforce,23956,36,14,348,48981.03,0.001502755050926699,0.3888888888888889,0.0005844047420270496
daewoo,1206,3,2,70,47972.67,0.0024875621890547263,0.6666666666666666,0.001658374792703151
epr,4822,0,0,118,46011.59,0.0,,0.0
hygge,2485,0,0,72,45051.48,0.0,,0.0
mercury,2709,0,0,25,44140.909999999996,0.0,,0.0
joie,7124,119,73,276,44098.56,0.016704098820887144,0.6134453781512605,0.010247052217855138
kitfort,17676,103,59,443,44077.9,0.005827110205928943,0.5728155339805825,0.0033378592441728897
tunga,22209,53,18,1239,43554.43,0.0023864199198523122,0.33962264150943394,0.0008104822369309739
bernina,2342,29,14,69,43273.25,0.012382578992314262,0.4827586206896552,0.005977796754910333
kiturami,1121,0,0,74,43179.71,0.0,,0.0
kapsen,17793,0,0,804,42804.14,0.0,,0.0
scarlett,42250,795,319,1330,42802.09,0.01881656804733728,0.40125786163522015,0.007550295857988166
pocketbook,5057,210,101,251,42511.05,0.041526596796519676,0.48095238095238096,0.019972315602135655
magnetta,9843,34,11,175,41520.26,0.0034542314335060447,0.3235294117647059,0.0011175454637813674
chicco,17442,158,58,343,41067.55,0.009058594197913083,0.3670886075949367,0.0033253067308794864
phoenix,10965,330,93,234,41023.49,0.030095759233926128,0.2818181818181818,0.008481532147742818
crown,22415,38,10,792,40830.29,0.0016952933303591344,0.2631578947368421,0.00044612982377871963
pt-group,16458,0,0,204,40817.19,0.0,,0.0
smeg,12070,62,20,99,40448.65,0.005136702568351284,0.3225806451612903,0.0016570008285004142
rivertoys,3943,0,0,225,40270.33,0.0,,0.0
orient,8677,0,0,254,39455.61,0.0,,0.0
incanto,9938,179,93,239,38546.090000000004,0.018011672368685852,0.5195530726256983,0.009358019722278125
chayka,6756,314,174,380,36476.22,0.04647720544701007,0.554140127388535,0.02575488454706927
edge,8232,1,0,230,36215.98,0.00012147716229348882,0.0,0.0
imperia,5260,0,0,37,36181.93,0.0,,0.0
pandora,10457,50,25,179,35263.43,0.0047814860858754905,0.5,0.0023907430429377452
asel,7491,0,0,608,34985.119999999995,0.0,,0.0
shivaki,10707,84,35,233,34887.53,0.007845334827682824,0.4166666666666667,0.00326888951153451
transcend,10020,667,275,776,34657.4,0.06656686626746507,0.4122938530734633,0.027445109780439122
chanel,7573,0,0,207,33731.52,0.0,,0.0
riga,1653,0,0,97,33504.63,0.0,,0.0
jaguar,6662,145,59,238,33135.97,0.021765235664965476,0.4068965517241379,0.008856199339537676
jvc,20125,1,0,525,33126.81,4.968944099378882e-05,0.0,0.0
nexpero,27634,0,0,449,32799.17,0.0,,0.0
sava,5220,3,1,292,32135.45,0.0005747126436781609,0.3333333333333333,0.00019157088122605365
toyo,7669,29,16,353,31918.35,0.003781457817186074,0.5517241379310345,0.002086321554309558
dior,7948,45,27,251,31854.48,0.005661801711122295,0.6,0.0033970810266733768
babyzen,2035,0,0,58,31802.78,0.0,,0.0
ibox,15678,177,87,401,31727.26,0.011289705319556066,0.4915254237288136,0.005549177190968236
armani,5101,0,0,126,31320.460000000003,0.0,,0.0
luminarc,21871,275,127,532,30990.38,0.012573727767363175,0.4618181818181818,0.005806776096200448
wingoffly,6947,105,57,267,30942.73,0.015114437886857636,0.5428571428571428,0.008204980567151288
nexen,10730,53,21,455,30045.53,0.004939422180801492,0.39622641509433965,0.00195712954333644
nike,49069,0,0,291,29802.23,0.0,,0.0
remington,12516,529,281,555,29787.399999999998,0.042265899648449984,0.5311909262759924,0.02245126238414829
smart,3436,11,1,49,29783.929999999997,0.0032013969732246797,0.09090909090909091,0.0002910360884749709
almacom,9314,37,18,255,29728.25,0.003972514494309642,0.4864864864864865,0.001932574618853339
denzel,5936,0,0,100,29650.31,0.0,,0.0
thermex,4253,159,76,276,29197.38,0.037385375029391016,0.4779874213836478,0.01786973900775923
alteco,17811,135,51,582,29158.57,0.007579585649317837,0.37777777777777777,0.0028633990230756273
rieker,25807,0,0,321,28754.88,0.0,,0.0
fender,5692,71,24,119,28289.57,0.012473647224174279,0.3380281690140845,0.004216444132115249
tigar,10073,82,30,379,27782.46,0.008140573811178397,0.36585365853658536,0.002978258711406731
unilux,1862,0,0,53,27764.37,0.0,,0.0
huion,1721,62,24,83,27762.800000000003,0.03602556653108658,0.3870967741935484,0.013945380592678676
microlab,7304,242,128,474,27563.92,0.03313253012048193,0.5289256198347108,0.017524644030668127
alesis,5349,0,0,115,27375.23,0.0,,0.0
askona,7489,0,0,155,27294.37,0.0,,0.0
intel,8066,34,11,116,27284.69,0.0042152243987106375,0.3235294117647059,0.0013637490701710886
kicx,11673,0,0,457,27017.61,0.0,,0.0
lanvin,8831,100,52,631,26783.69,0.011323745895142113,0.52,0.005888347865473899
oasis,12148,395,185,749,26679.35,0.03251564043463945,0.46835443037974683,0.015228844254198222
audison,2467,0,0,33,26636.65,0.0,,0.0
hotpoint-ariston,4952,36,17,94,26554.34,0.007269789983844911,0.4722222222222222,0.003432956381260097
racer,7180,0,0,106,26430.71,0.0,,0.0
rondell,23155,476,169,515,26341.19,0.020557115093932196,0.3550420168067227,0.0072986396026776075
roadx,11553,44,13,568,26117.76,0.003808534579762832,0.29545454545454547,0.0011252488531117459
tyrex,819,0,0,103,25557.56,0.0,,0.0
cortland,6411,287,108,249,25356.45,0.044766807050382156,0.37630662020905925,0.016846045858680395
hankook,9130,0,0,287,25197.1,0.0,,0.0
dxracer,6056,76,25,84,25086.969999999998,0.012549537648612946,0.32894736842105265,0.004128137384412154
carfashion,14644,0,0,349,25067.43,0.0,,0.0
axis,6195,0,0,189,25052.28,0.0,,0.0
efremov,8682,0,0,168,24968.41,0.0,,0.0
maomaoku,3600,3,1,73,24751.66,0.0008333333333333334,0.3333333333333333,0.0002777777777777778
pride,9054,0,0,203,24674.28,0.0,,0.0
lorelli,11020,71,33,322,24664.41,0.006442831215970962,0.4647887323943662,0.0029945553539019966
babyliss,11492,362,164,388,24603.9,0.031500174034110685,0.4530386740331492,0.01427079707622694
varta,4558,1,0,206,24364.26,0.00021939447125932427,0.0,0.0
cybex,3904,13,8,70,24349.52,0.003329918032786885,0.6153846153846154,0.0020491803278688526
marshall,5208,95,41,225,24248.16,0.01824116743471582,0.43157894736842106,0.007872503840245775
sven,14848,269,112,584,23921.6,0.018116918103448277,0.4163568773234201,0.007543103448275862
fubag,3509,0,0,60,23513.62,0.0,,0.0
horizont,7592,88,33,174,23269.53,0.011591148577449948,0.375,0.00434668071654373
granhel,7981,0,0,209,23187.68,0.0,,0.0
buderus,877,35,14,30,23159.53,0.039908779931584946,0.4,0.01596351197263398
bq,18997,265,114,500,22976.38,0.013949570984892351,0.43018867924528303,0.0060009475180291625
adamex,1891,1,1,55,22883.39,0.0005288207297726071,1.0,0.0005288207297726071
gislaved,5033,171,76,258,22875.36,0.03397575998410491,0.4444444444444444,0.015100337770713292
uno,1497,25,8,35,22563.86,0.016700066800267203,0.32,0.005344021376085505
reebok,13162,0,0,195,22544.93,0.0,,0.0
eurolux,6678,284,124,279,22265.42,0.042527702905061394,0.43661971830985913,0.018568433662773286
ostamebel,2976,0,0,28,21971.719999999998,0.0,,0.0
hertz,7921,0,0,171,21883.28,0.0,,0.0
salamander,19465,0,0,253,21305.03,0.0,,0.0
powertrac,10243,45,13,499,21277.28,0.004393244166748023,0.28888888888888886,0.001269159425949429
garrett,2676,0,0,69,21204.54,0.0,,0.0
harper,16576,89,44,419,21137.14,0.005369208494208494,0.4943820224719101,0.0026544401544401543
saturn,19767,265,105,545,21069.170000000002,0.013406182020539283,0.39622641509433965,0.005311883442100471
flama,6557,102,37,151,21022.62,0.015555894463931677,0.3627450980392157,0.005642824462406588
partner,6678,0,0,183,20842.26,0.0,,0.0
polini,8257,29,15,135,20776.89,0.0035121714908562434,0.5172413793103449,0.0018166404263049534
asrock,4120,35,13,124,20665.329999999998,0.00849514563106796,0.37142857142857144,0.0031553398058252425
leadbros,2090,0,0,94,20626.79,0.0,,0.0
alphard,6580,0,0,202,20561.05,0.0,,0.0
firestone,904,1,0,60,20354.81,0.0011061946902654867,0.0,0.0
king,5247,136,65,153,20346.239999999998,0.02591957308938441,0.47794117647058826,0.012388031255955785
cantra,23842,0,0,248,20308.95,0.0,,0.0
nika,9835,16,8,510,20115.19,0.001626842907981698,0.5,0.000813421453990849
rial,5295,0,0,59,20069.739999999998,0.0,,0.0
peg-perego,1851,36,26,94,20065.95,0.019448946515397084,0.7222222222222222,0.014046461372231226
blaupunkt,2792,150,57,72,19944.19,0.053724928366762174,0.38,0.02041547277936963
hyperx,6213,176,83,265,19569.43,0.028327699983904716,0.4715909090909091,0.013359085787864156
dunlop,6005,8,4,209,19383.68,0.0013322231473771858,0.5,0.0006661115736885929
aerocool,6956,88,43,281,19371.54,0.012650948821161587,0.48863636363636365,0.006181713628522139
atlantic,4763,0,0,106,19315.29,0.0,,0.0
nitro,3999,0,0,70,19308.38,0.0,,0.0
avalon,4227,16,5,44,19041.55,0.003785190442394133,0.3125,0.0011828720132481666
brother,3504,94,46,140,19038.620000000003,0.02682648401826484,0.48936170212765956,0.013127853881278538
bfgoodrich,6690,94,41,169,18959.45,0.014050822122571001,0.43617021276595747,0.006128550074738416
maxwell,25602,417,176,625,18910.54,0.016287790016404968,0.42206235011990406,0.006874462932583392
diamant,4181,0,0,139,18898.5,0.0,,0.0
trebl,12290,0,0,268,18806.07,0.0,,0.0
teploross,2140,57,25,71,18591.28,0.02663551401869159,0.43859649122807015,0.011682242990654205
roland,2198,0,0,19,18495.63,0.0,,0.0
bork,2054,0,0,41,18363.73,0.0,,0.0
karya,11837,0,0,332,18049.6,0.0,,0.0
pozis,4244,60,27,61,17776.29,0.01413760603204524,0.45,0.006361922714420358
darina,5207,130,51,121,17721.95,0.024966391396197427,0.3923076923076923,0.009794507393892836
akom,3082,0,0,240,17632.25,0.0,,0.0
genesis,4036,25,8,335,17174.16,0.0061942517343904855,0.32,0.0019821605550049554
adil,4442,32,13,150,17019.22,0.007203962179198559,0.40625,0.002926609635299415
cover,5780,0,0,58,16708.670000000002,0.0,,0.0
anex,1477,5,2,26,16697.42,0.003385240352064997,0.4,0.0013540961408259986
amd,4163,18,5,96,16682.5,0.004323804948354552,0.2777777777777778,0.0012010569300984868
strobbs,21070,0,0,336,16524.79,0.0,,0.0
ballu,7573,43,17,359,16392.48,0.005678066816321141,0.3953488372093023,0.002244817113429288
google,6587,0,0,27,16272.949999999999,0.0,,0.0
whirlpool,3148,16,3,31,16258.69,0.005082592121982211,0.1875,0.0009529860228716646
fitlux,1588,0,0,14,16098.25,0.0,,0.0
rimax,2192,0,0,56,16075.189999999997,0.0,,0.0
ergo,3001,31,12,56,16057.769999999999,0.010329890036654448,0.3870967741935484,0.003998667110963012
aimoto,6035,159,84,295,15860.45,0.026346313173156586,0.5283018867924528,0.013918806959403479
pituso,4353,36,23,169,15676.240000000002,0.008270158511371467,0.6388888888888888,0.005283712382265104
stendmebel,7690,0,0,90,15569.97,0.0,,0.0
element,1945,0,0,121,15566.45,0.0,,0.0
galaxy,25790,44,24,594,15531.83,0.0017060876308646763,0.5454545454545454,0.0009305932531989143
canyon,14171,292,130,346,15075.789999999999,0.020605461858725565,0.4452054794520548,0.009173664526144943
irobot,2585,0,0,27,15048.79,0.0,,0.0
comforser,8305,0,0,260,14880.67,0.0,,0.0
apacer,5936,2,0,395,14860.52,0.00033692722371967657,0.0,0.0
evga,222,0,0,11,14746.59,0.0,,0.0
olympus,521,0,0,19,14720.88,0.0,,0.0
alkor,1474,0,0,30,14273.96,0.0,,0.0
umi,1940,41,16,27,14244.5,0.021134020618556702,0.3902439024390244,0.008247422680412371
t-max,3859,0,0,25,14204.66,0.0,,0.0
vestel,1431,0,0,40,14057.630000000001,0.0,,0.0
hifly,5901,0,0,223,13862.05,0.0,,0.0
texet,12332,372,159,554,13819.199999999999,0.030165423289004217,0.4274193548387097,0.01289328576062277
voltman,2368,0,0,170,13817.77,0.0,,0.0
roadstone,6285,0,0,207,13720.94,0.0,,0.0
swisshome,5153,0,0,117,13639.29,0.0,,0.0
zte,5057,136,60,173,13623.87,0.026893415068222265,0.4411764705882353,0.011864741941862765
m-audio,2246,0,0,102,13611.159999999998,0.0,,0.0
festool,795,0,0,14,13468.470000000001,0.0,,0.0
perilla,6718,408,217,422,13392.91,0.06073236082167312,0.5318627450980392,0.03230128014289967
wonlex,10448,148,62,402,13374.01,0.014165390505359877,0.4189189189189189,0.0059341500765696786
kristal,1583,7,0,50,13292.01,0.004421983575489577,0.0,0.0
sapphire,883,0,0,49,13126.68,0.0,,0.0
wacom,1927,66,30,92,13045.51,0.034250129735339904,0.45454545454545453,0.015568240788790867
navitel,7403,126,51,131,13005.59,0.017020126975550453,0.40476190476190477,0.006889099013913279
lego,12715,92,36,237,12939.76,0.007235548564687377,0.391304347826087,0.002831301612268974
fassen,18299,0,0,282,12936.22,0.0,,0.0
timberk,6078,15,9,279,12841.34,0.0024679170779861796,0.6,0.0014807502467917078
radaway,3546,39,6,19,12734.94,0.010998307952622674,0.15384615384615385,0.001692047377326565
xp-pen,931,12,5,49,12589.259999999998,0.01288936627282492,0.4166666666666667,0.0053705692803437165
etor,9132,0,0,116,12553.81,0.0,,0.0
lux,11961,0,0,105,12521.83,0.0,,0.0
longines,3051,0,0,7,12417.300000000001,0.0,,0.0
alis,4722,45,14,136,12409.560000000001,0.009529860228716646,0.3111111111111111,0.002964845404489623
kawai,307,0,0,10,12339.57,0.0,,0.0
electro-voice,1406,0,0,8,12292.98,0.0,,0.0
imx,2720,0,0,49,12239.16,0.0,,0.0
moschino,3486,51,29,239,11751.529999999999,0.014629948364888123,0.5686274509803921,0.00831899024670109
babytime,5009,48,21,191,11497.95,0.009582751048113396,0.4375,0.004192453583549611
orium,209,0,0,37,11487.05,0.0,,0.0
greyder,13975,0,0,115,11337.37,0.0,,0.0
aoc,2061,33,12,43,11225.8,0.01601164483260553,0.36363636363636365,0.005822416302765648
neo,3750,0,0,31,11157.68,0.0,,0.0
aeolus,697,0,0,70,11150.86,0.0,,0.0
mystery,3781,0,0,90,11078.460000000001,0.0,,0.0
bose,2426,12,5,25,11052.86,0.00494641384995878,0.4166666666666667,0.002061005770816158
joyor,328,0,0,17,11025.51,0.0,,0.0
gree,1224,27,6,34,10875.01,0.022058823529411766,0.2222222222222222,0.004901960784313725
logitech,5570,156,62,190,10822.5,0.02800718132854578,0.3974358974358974,0.011131059245960502
inoi,8764,150,64,240,10800.81,0.01711547238703788,0.4266666666666667,0.00730260155180283
senci,610,0,0,6,10777.3,0.0,,0.0
cort,2003,1,0,59,10752.47,0.0004992511233150275,0.0,0.0
bestoy,3094,0,0,175,10743.83,0.0,,0.0
swat,6628,0,0,148,10731.75,0.0,,0.0
bosher,2017,0,0,52,10714.69,0.0,,0.0
gucci,3412,4,1,137,10708.24,0.0011723329425556857,0.25,0.00029308323563892143
doogee,6791,59,26,89,10635.26,0.008687969371226623,0.4406779661016949,0.00382859667206597
kartal,5345,0,0,46,10632.71,0.0,,0.0
moldabela,4752,0,0,68,10630.4,0.0,,0.0
sonel,3667,0,0,108,10586.08,0.0,,0.0
dwt,6389,40,23,152,10526.39,0.006260760682422915,0.575,0.0035999373923931758
laurastar,454,0,0,10,10450.44,0.0,,0.0
fujifilm,3349,0,0,76,10446.68,0.0,,0.0
rado,2428,0,0,5,10347.75,0.0,,0.0
goodride,6423,3,2,204,10290.77,0.00046707146193367583,0.6666666666666666,0.00031138097462245055
rooman,9856,0,0,188,10247.35,0.0,,0.0
dayun,1411,0,0,8,10234.48,0.0,,0.0
thule,6606,48,17,42,10171.64,0.007266121707538601,0.3541666666666667,0.0025734181047532547
haro,1158,0,0,29,10007.710000000001,0.0,,0.0
hyundai,5570,30,17,117,9968.83,0.005385996409335727,0.5666666666666667,0.003052064631956912
bulgari,2451,8,4,139,9941.13,0.0032639738882088943,0.5,0.0016319869441044472
mart,6547,141,51,134,9939.03,0.021536581640446004,0.3617021276595745,0.007789827401863449
tecno,2592,0,0,95,9872.970000000001,0.0,,0.0
ams,1425,0,0,41,9817.5,0.0,,0.0
